Gene,Type,Strain,Stage,Update,Antibody,Domain,Method,Date,Peaks,External_Repository,Notes
CG33557,TF,CG33557-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,12/04/2019,4892,ENCSR214LWK,ENCODE bams
CG3407,TF,CG3407-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,3423,ENCSR266CSS,ENCODE bams
CG34224,TF,CG34224-GFP,embryonic,status as TF is not certain,ab290,,site-specific recombination,29/08/2022,4958,ENCSR901DHA,E0-24
CG34367,TF,CG34367,pupa,,goat-anti-GFP-UC,,site-specific recombination,18/09/2018,5884,ENCSR018VBD,ENCODE bams
CG34376,TF,CG34376-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,01/02/2018,8352,ENCSR833EEQ,ENCODE bams
CG34422,chromatin factor,CG34422-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/01/2021,7431,ENCSR069JDM,E0-24
CG3726,TF,CG3726-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,04/10/2021,3204,ENCSR521RVI,E0-24
CG3838,TF,CG3838-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,1682,ENCSR891UUT,ENCODE bams
CG3847,TF,CG3847-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,21/07/2021,6174,ENCSR673HOX,E0-24
CG3919,TF,CG3919-GFP,prepupa,,goat-anti-GFP-UC,,site-specific recombination,10/04/2016,8846,ENCSR418YJE,ENCODE bams
CG3995,TF,CG3995-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,03/08/2016,3752,ENCSR059TJM,ENCODE bams
CG42726,TF,CG42726-GFP,embryonic,,ab290,,site-specific recombination,28/03/2022,4044,ENCSR811NLX,0-24
CG42741,TF,CG42741-GFP,embryonic,,ab290,,site-specific recombination,25/01/2023,9191,,E6-24
CG4282,TF,CG4282-GFP,embryonic,,goat-anti-GFP-UC,,site-specific recombination,24/07/2015,2154,ENCSR713FWS,ENCODE bams
